Depth_m,tconst_qt_CI_width_kNm2
6,207.382264271087
6.04,200.276871532519
6.08,204.262002482121
6.12,198.497522158878
6.16,197.314512090998
6.2,187.185496853213
6.24,190.156806250433
6.28,184.789976813138
6.32,192.112714245817
6.36,189.4622759938
6.4,182.169916359723
6.44,191.933664550647
6.48,194.041500440201
6.52,202.523201470104
6.56,200.926793291737
6.6,197.759343987351
6.64,204.342637531852
6.68,204.84940841614
6.72,204.926165182994
6.76,183.145390862732
6.8,184.822001114768
6.84,186.977683676124
6.88,190.31370647224
6.92,193.857842723527
6.96,192.45941832255
7,202.350028945957
7.04,218.974974867859
7.08,202.320300258946
7.12,202.709250457258
7.16,207.856658916572
7.2,195.947727842473
7.24,198.26137828001
7.28,199.150816752081
7.32,205.321586734529
7.36,205.386276228164
7.4,207.736171734784
7.44,209.236679218381
7.48,204.945551288184
7.52,201.295841209016
7.56,197.697005636272
7.6,202.734865700887
7.64,208.220387427072
7.68,208.91045371262
7.72,209.212341979473
7.76,213.824550388709
7.8,217.928175877778
7.84,204.313363471187
7.88,197.767534560899
7.92,191.682134236987
7.96,206.0194664081
8,214.021282303542
8.04,201.883956268512
8.08,204.364765066422
8.12,203.356810794727
8.16,207.912106663104
8.2,205.710521801538
8.24,215.122976616632
8.28,215.585043777087
8.32,219.547341094757
8.36,226.366154674664
8.4,229.240619210627
8.44,231.315409503717
8.48,225.389589378616
8.52,234.863730314292
8.56,231.998322288517
8.6,244.355051682405
8.64,236.392601511151
8.68,250.406240012364
8.72,244.498410227546
8.76,249.842404798937
8.8,244.213733516628
8.84,258.886182628913
8.88,238.245981079064
8.92,252.722887674395
8.96,244.232192286439
9,232.981379259146
9.04,225.778846105073
9.08,242.731475011515
9.12,219.76164626565
9.16,241.47400413677
9.2,247.906381208181
9.24,240.01151267504
9.28,235.955940739537
9.32,237.379640002482
9.36,243.727974511602
9.4,244.216043621121
9.44,250.173844563905
9.48,250.802239201865
9.52,260.212104317604
9.56,254.009494598093
9.6,261.535712635993
9.64,257.290712326114
9.68,266.788295879182
9.72,264.284121770753
9.76,272.343860090879
9.8,274.380218575997
9.84,277.991559826433
9.88,285.6334747362
9.92,272.894232706683
9.96,265.557841040572
10,259.618391454024
